Name,Price,Producer,MPN,EAN,UPC,Form Factor,Size,RPM,Cache,Image URL
Toshiba DT01ACA100 1TB 32MB,$65.49 USD,Toshiba,DT01ACA100,6.09E+11,6.97E+11,,1 TB,7200,,https://m.media-amazon.com/images/I/71ezbcFTuaL._AC_UY218_.jpg
Toshiba P300 HDWD110EZSTA 1TB 64MB,$18.88 USD,Toshiba,HDWD110EZSTA,4.05E+12,,,1 TB,7200,,https://m.media-amazon.com/images/I/61qNgprqfDL._AC_UY218_.jpg
HGST Ultrastar He6,$466.85 USD,HGST,0F18335,6.72E+11,,,6 TB,7200,,https://m.media-amazon.com/images/I/61jAl5XirZL._AC_UY218_.jpg
HGST Ultrastar He8,$491.18 USD,HGST,0F23267,8.72E+12,,,8 TB,7200,,https://m.media-amazon.com/images/I/71SmCJ5xovL._AC_UY218_.jpg
Seagate BarraCuda Compute Hard Drive 2 TB,$43.52 USD,Seagate,ST2000DM008,7.64E+11,7.64E+11,"3.5""",2 TB,7200,256,https://m.media-amazon.com/images/I/71Czt9ypIbL._AC_UY218_.jpg
Seagate Barracuda Hard Drive,$48.67 USD,Seagate,ST1000DM003,7.64E+12,,,1 TB,7200,64,https://m.media-amazon.com/images/I/619Zbk3-e0L._AC_UY218_.jpg
Seagate BarraCuda Hard Drive,$54.4 USD,Seagate,ST2000DM006,7.64E+11,,,2 TB,7200,,https://m.media-amazon.com/images/I/71Czt9ypIbL._AC_UY218_.jpg
Seagate BarraCuda Hard Drive,$84.78 USD,Seagate,ST3000DM008,7.64E+11,,,3 TB,7200,,https://m.media-amazon.com/images/I/81cfhnLwWLL._AC_UY218_.jpg
Seagate Barracuda Hard Drive,$112.71 USD,Seagate,ST2000DM001,7.64E+12,,,2 TB,7200,64,https://m.media-amazon.com/images/I/71Czt9ypIbL._AC_UY218_.jpg
Seagate BarraCuda Hard Drive 1 TB,$42.06 USD,Seagate,ST1000DM010,7.64E+11,7.64E+11,"3.5""",1 TB,7200,64,https://m.media-amazon.com/images/I/619Zbk3-e0L._AC_UY218_.jpg
Seagate BarraCuda Hard Drive 1 TB,$51.86 USD,Seagate,ST1000LM048,7.64E+11,7.64E+11,"2.5""",1 TB,5400,128,https://m.media-amazon.com/images/I/619Zbk3-e0L._AC_UY218_.jpg
Seagate BarraCuda Hard Drive 3 TB,$87.04 USD,Seagate,ST3000DM007,7.64E+12,7.64E+11,"3.5""",3 TB,5400,256,https://m.media-amazon.com/images/I/81cfhnLwWLL._AC_UY218_.jpg
Seagate BarraCuda Hard Drive 4 TB,$89.48 USD,Seagate,ST4000DM004,7.64E+11,7.64E+11,"3.5""",4 TB,5400,256,https://m.media-amazon.com/images/I/713+86COo+L._AC_UY218_.jpg
Seagate BarraCuda Hard Drive 5 TB,$195.02 USD,Seagate,ST5000LM000,7.64E+11,7.64E+11,"2.5""",5 TB,5400,128,https://m.media-amazon.com/images/I/81lLPsu6JzL._AC_UY218_.jpg
Seagate BarraCuda Hard Drive 6 TB,$137.08 USD,Seagate,ST6000DM003,7.64E+11,7.64E+11,"3.5""",6 TB,5400,256,https://m.media-amazon.com/images/I/71PkN62BDEL._AC_UY218_.jpg
Seagate BarraCuda Hard Drive 8 TB,$141.44 USD,Seagate,ST8000DM004,7.64E+11,7.64E+11,"3.5""",8 TB,5400,256,https://m.media-amazon.com/images/I/71dpms8gexL._AC_UY218_.jpg
Seagate BarraCuda Pro Hard Drive,$293.69 USD,Seagate,ST8000DM0004,7.64E+11,7.64E+11,"3.5""",8 TB,7.2,256,https://m.media-amazon.com/images/I/71dpms8gexL._AC_UY218_.jpg
Seagate BarraCuda Pro Hard Drive 1 TB,$58.02 USD,Seagate,ST1000LM049,7.64E+11,7.64E+11,"2.5""",1 TB,7200,128,https://m.media-amazon.com/images/I/71OhMJwP9xL._AC_UY218_.jpg
Seagate BarraCuda Pro Hard Drive 12 TB,$436.31 USD,Seagate,ST12000DM0007,7.64E+11,7.64E+11,"3.5""",12 TB,7200,256,https://m.media-amazon.com/images/I/71ZNqv54H4L._AC_UY218_.jpg
Seagate BarraCuda Pro Hard Drive 14 TB,$558.53 USD,Seagate,ST14000DM001,8.72E+12,,"3.5""",14 TB,7200,256,https://m.media-amazon.com/images/I/714nfRuxaYL._AC_UY218_.jpg
Seagate Desktop Hard Drive ST6000DM001,$205.72 USD,Seagate,ST6000DM001,8.59E+12,7.64E+11,,6 TB,7200,,https://m.media-amazon.com/images/I/71kW6oZHLHL._AC_UY218_.jpg
Seagate Enterprise Capacity ST1000NM0008,$62.19 USD,Seagate,ST1000NM0008,7.64E+11,,,1 TB,7200,,https://m.media-amazon.com/images/I/71rF2D7mOiL._AC_UY218_.jpg
Seagate Enterprise Capacity ST1000NM0055,$82.08 USD,Seagate,ST1000NM0055,7.64E+12,7.64E+11,,1 TB,7200,,https://m.media-amazon.com/images/I/41JdmJnM-lL._AC_UY218_.jpg
Seagate Enterprise Capacity ST1000NX0313,$174.08 USD,Seagate,ST1000NX0313,7.64E+12,7.64E+11,,1 TB,7200,,https://m.media-amazon.com/images/I/612obM7yboL._AC_UY218_.jpg
Seagate Enterprise Capacity ST2000NM0055,$90.23 USD,Seagate,ST2000NM0055,8.59E+12,7.64E+11,,2 TB,7200,,https://m.media-amazon.com/images/I/6186RyOIjKL._AC_UY218_.jpg
Seagate Enterprise Capacity ST2000NX0253,$301.75 USD,Seagate,ST2000NX0253,8.59E+12,7.64E+11,,2 TB,7200,,https://m.media-amazon.com/images/I/71AWXO4ez-L._AC_UY218_.jpg
Seagate Enterprise Capacity ST4000NM0115,$179.1 USD,Seagate,ST4000NM0115,8.59E+12,7.64E+11,,4 TB,7200,,https://m.media-amazon.com/images/I/61NXu-GjGyL._AC_UY218_.jpg
Seagate Enterprise Hard Drive v5,$224.86 USD,Seagate,ST6000NM0115,7.64E+12,7.64E+11,,6 TB,7200,6,https://m.media-amazon.com/images/I/81mVD631L0L._AC_UY218_.jpg
Seagate Exos 7E2 Hard Drive 2 TB,$104.45 USD,Seagate,ST2000NM0008,7.64E+11,7.64E+11,"3.5""",2 TB,7200,128,https://m.media-amazon.com/images/I/61ZKhEN9dPL._AC_UY218_.jpg
Seagate Exos 7E8 Hard Drive 4 TB,$166.83 USD,Seagate,ST4000NM002A,8.72E+12,,"3.5""",4 TB,7200,256,https://m.media-amazon.com/images/I/71-UzLQ4zJL._AC_UY218_.jpg
Seagate Exos E 7E8 Hard Drive 8 TB,$229.6 USD,Seagate,ST8000NM0055,7.64E+12,,"3.5""",8 TB,7200,256,https://m.media-amazon.com/images/I/715Vsl6BWEL._AC_UY218_.jpg
Seagate FireCuda SSHD 1 TB,$68.9 USD,Seagate,ST1000DX002,7.64E+11,7.64E+11,"3.5""",1 TB,7200,64,https://m.media-amazon.com/images/I/61T0aezXGNL._AC_UY218_.jpg
Seagate FireCuda SSHD 2 TB,$87.04 USD,Seagate,ST2000LX001,7.64E+12,7.64E+11,"2.5""",2 TB,5400,128,https://m.media-amazon.com/images/I/61D0equ9OyL._AC_UY218_.jpg
Seagate IronWolf Hard Drive,$215.37 USD,Seagate,ST8000VN0022,7.64E+11,7.64E+11,"3.5""",8 TB,7.2,256,https://m.media-amazon.com/images/I/71GKZRx898L._AC_UY218_.jpg
Seagate IronWolf Hard Drive,$330.04 USD,Seagate,ST12000VN0007,7.64E+11,7.64E+11,"3.5""",12 TB,7.2,256,https://m.media-amazon.com/images/I/71yHXh6J6iL._AC_UL320_.jpg
Seagate IronWolf Hard Drive 1 TB,$50.04 USD,Seagate,ST1000VN002,8.72E+12,7.64E+11,"3.5""",1 TB,5900,64,https://m.media-amazon.com/images/I/71y0UqWIiSL._AC_UY218_.jpg
Seagate Ironwolf Hard Drive 14 TB,$471.49 USD,Seagate,ST14000VN0008,8.72E+12,7.64E+11,"3.5""",14 TB,7200,256,https://m.media-amazon.com/images/I/714nfRuxaYL._AC_UY218_.jpg
Seagate IronWolf Hard Drive 6 TB,$166.83 USD,Seagate,ST6000VN0033,8.72E+12,7.64E+11,"3.5""",6 TB,7200,256,https://m.media-amazon.com/images/I/71GKZRx898L._AC_UY218_.jpg
Seagate IronWolf Hard Drive 8 TB,$177.71 USD,Seagate,ST8000VN004,7.64E+11,,"3.5""",8 TB,7200,256,https://m.media-amazon.com/images/I/71GKZRx898L._AC_UY218_.jpg
Seagate IronWolf NAS Hard Drive ST10000VN0004,$338.73 USD,Seagate,ST10000VN0004,8.59E+12,7.64E+11,,10 TB,7200,,https://m.media-amazon.com/images/I/61FU3Vz5nrL._AC_UY218_.jpg
Seagate IronWolf NAS Hard Drive ST2000VN004,$78.33 USD,Seagate,ST2000VN004,8.59E+12,,,2 TB,5900,,https://m.media-amazon.com/images/I/71Ar-TAQbCL._AC_UY218_.jpg
Seagate IronWolf NAS Hard Drive ST3000VN007,$94.29 USD,Seagate,ST3000VN007,8.59E+12,7.64E+11,,3 TB,5900,,https://m.media-amazon.com/images/I/717+OaXke8L._AC_UY218_.jpg
Seagate IronWolf NAS Hard Drive ST4000VN008,$107.34 USD,Seagate,ST4000VN008,8.59E+12,7.64E+11,,4 TB,5900,,https://m.media-amazon.com/images/I/71SAuEK-ZYL._AC_UY218_.jpg
Seagate IronWolf NAS Hard Drive ST6000VN0041,$157.4 USD,Seagate,ST6000VN0041,7.64E+11,7.64E+11,,6 TB,7200,,https://m.media-amazon.com/images/I/71ANzAk7LGL._AC_UY218_.jpg
Seagate IronWolf Pro Hard Drive,$144.34 USD,Seagate,ST4000NE0025,7.64E+11,7.64E+11,"3.5""",4 TB,7.2,128,https://m.media-amazon.com/images/I/71y0UqWIiSL._AC_UY218_.jpg
Seagate IronWolf Pro Hard Drive,$207.04 USD,Seagate,ST6000NE0023,7.64E+11,7.64E+11,"3.5""",6 TB,7.2,256,https://m.media-amazon.com/images/I/71GKZRx898L._AC_UY218_.jpg
Seagate IronWolf Pro Hard Drive,$269.11 USD,Seagate,ST8000NE0004,7.64E+11,7.64E+11,"3.5""",8 TB,7.2,256,https://m.media-amazon.com/images/I/71GKZRx898L._AC_UY218_.jpg
Seagate IronWolf Pro Hard Drive,$514.18 USD,Seagate,ST12000NE0007,7.64E+11,7.64E+11,"3.5""",12 TB,7.2,256,https://m.media-amazon.com/images/I/71alKeF8ZKL._AC_UY218_.jpg
Seagate IronWolf Pro Hard Drive 12 TB,$412.46 USD,Seagate,ST12000NE0008,7.64E+11,,"3.5""",12 TB,7200,256,https://m.media-amazon.com/images/I/71alKeF8ZKL._AC_UY218_.jpg
Seagate IronWolf Pro NAS Hard Drive ST10000NE0004 10TB 7200rpm 256MB,$324.96 USD,Seagate,ST10000NE0004,8.59E+12,,,10 TB,7200,,https://m.media-amazon.com/images/I/81cQjULTKHL._AC_UY218_.jpg
Seagate IronWolf Pro NAS Hard Drive ST2000NE0025 2TB 7200rpm 128MB,$103.0 USD,Seagate,ST2000NE0025,7.64E+11,,,2 TB,7200,,https://m.media-amazon.com/images/I/81cQjULTKHL._AC_UY218_.jpg
Seagate SkyHawk Hard Drive,$206.62 USD,Seagate,ST10000VX0004,7.64E+12,7.64E+11,"3.5""",10 TB,7.2,256,https://m.media-amazon.com/images/I/515cN-Z7evL._AC_UY218_.jpg
Seagate SkyHawk Hard Drive 4 TB,$123.5 USD,Seagate,ST4000VX007,7.64E+11,7.64E+11,"3.5""",4 TB,7200,64,https://m.media-amazon.com/images/I/71W0Rtw4+AL._AC_UY218_.jpg
Seagate SkyHawk Hard Drive ST1000VX005,$50.04 USD,Seagate,ST1000VX005,8.59E+12,7.64E+11,,1 TB,7200,,https://m.media-amazon.com/images/I/61hsY0oga4L._AC_UY218_.jpg
Seagate SkyHawk Hard Drive ST2000VX008,$64.91 USD,Seagate,ST2000VX008,8.59E+12,,,2 TB,7200,,https://m.media-amazon.com/images/I/512l7eE6MIL._AC_UY218_.jpg
Seagate SkyHawk Hard Drive ST6000VX0023,$182.94 USD,Seagate,ST6000VX0023,8.59E+12,7.64E+11,,6 TB,7200,,https://m.media-amazon.com/images/I/71cWXjJC9TL._AC_UY218_.jpg
Seagate Surveillance Hard Drive ST2000VX000,$95.72 USD,Seagate,ST2000VX000,8.59E+12,,,2 TB,7200,,https://m.media-amazon.com/images/I/512l7eE6MIL._AC_UY218_.jpg
Seagate Surveillance Hard Drive ST4000VX000,$125.9 USD,Seagate,ST4000VX000,8.59E+12,,,4 TB,5900,,https://m.media-amazon.com/images/I/71yL3dpqGmL._AC_UY218_.jpg
WD Black WD4004FZWX,$211.43 USD,Western Digital,WD4004FZWX,7.18E+11,,,4 TB,7200,,https://m.media-amazon.com/images/I/51UxxkzZ8HL._AC_UY218_.jpg
WD Black WD6001FZWX,$284.74 USD,Western Digital,WD6001FZWX,7.18E+11,,,6 TB,7200,,https://m.media-amazon.com/images/I/71u62inmlYL._AC_UY218_.jpg
WD Blue WD50EZRZ,$193.42 USD,Western Digital,WD50EZRZ,7.18E+11,,,5 TB,5400,,https://m.media-amazon.com/images/I/516TlxdS-UL._AC_UY218_.jpg
WD Gold WD4002FYYZ,$145.07 USD,Western Digital,WD4002FYYZ,8.59E+12,,,4 TB,7200,,
WD Gold WD8002FRYZ,$337.22 USD,Western Digital,WD8002FRYZ,7.18E+11,7.18E+11,,8 TB,7200,,https://m.media-amazon.com/images/I/71XNPZx-CfL._AC_UY218_.jpg
WD Purple NV WD4NPURX,$181.18 USD,Western Digital,WD4NPURX,8.59E+12,,,4 TB,5400,,https://m.media-amazon.com/images/I/61Np0SuI9rL._AC_UY218_.jpg
WD Purple WD20PURX,$87.89 USD,Western Digital,WD20PURX,7.18E+11,,,2 TB,5400,,https://m.media-amazon.com/images/I/41o7NN48drL._AC_UY218_.jpg
WD Purple WD30PURX,$105.62 USD,Western Digital,WD30PURX,7.18E+11,7.18E+11,,3 TB,5400,,https://m.media-amazon.com/images/I/61JC9TD2CoL._AC_UY218_.jpg
WD Purple WD40PURX,$171.54 USD,Western Digital,WD40PURX,7.18E+11,7.18E+11,,4 TB,5400,,https://m.media-amazon.com/images/I/51VFFWVqI4L._AC_UY218_.jpg
WD Purple WD60PURX,$192.25 USD,Western Digital,WD60PURX,7.18E+11,,,6 TB,5400,,https://m.media-amazon.com/images/I/71jPOpWVThL._AC_UY218_.jpg
WD Purple WD80PUZX,$294.61 USD,Western Digital,WD80PUZX,7.18E+11,7.18E+11,,8 TB,5400,,https://m.media-amazon.com/images/I/71-W7pkRyNL._AC_UY218_.jpg
WD Red Pro WD4002FFWX,$185.51 USD,Western Digital,WD4002FFWX,7.18E+11,7.18E+11,,4 TB,7200,,https://m.media-amazon.com/images/I/81PzI6rjR9L._AC_UY218_.jpg
